"","lat","long","x"
"138",39.3209801,-111.0937311,3
"139",32.2364837,-110.9486611,1
"140",32.2217429,-110.926479,3
"141",46.8796822,-110.3625658,1
"142",53.284459,-109.978899,1
"143",32.2807454,-109.3567638,1
"144",51.972331,-109.2704383,1
"145",43.0759678,-107.2902839,1
"146",47.320834,-106.9100663,1
"147",52.1332144,-106.6700458,1
"148",35.0853336,-106.6055534,2
"149",31.7618778,-106.4850217,1
"150",39.6402638,-106.3741955,1
"151",56.130366,-106.346771,9
"152",43.4113604,-106.2800242,1
"153",28.6329957,-106.0691004,1
"154",33.8621962,-105.9596358,1
"155",35.6869752,-105.937799,1
"156",34.5199402,-105.8700901,2
"157",39.5500507,-105.7820674,5
"158",40.5209256,-105.1712045,1
"159",40.5381788,-105.102121,1
"160",39.613321,-105.0166498,1
"161",39.9062006,-104.9990846,1
"162",39.7392358,-104.990251,14
"163",39.6676033,-104.9395637,1
"164",38.8354621,-104.8229839,1
"165",38.8338816,-104.8213634,2
"166",39.584116,-104.8071182,1
"167",38.919519,-104.790155,1
"168",38.2544472,-104.6091409,1
"169",32.400126,-104.195846,1
"170",37.5948981,-104.0344383,1
"171",20.6596988,-103.3496092,1
"172",39.830604,-102.651286,1
"173",23.634501,-102.552784,11
"174",34.2331373,-102.4107493,2
"175",31.8456816,-102.3676431,2
"176",43.8553804,-102.3396912,3
"177",21.8852562,-102.2915677,1
"178",31.9973456,-102.0779146,2
"179",33.5059189,-102.0090575,1
"180",33.5778631,-101.8551665,4
"181",21.0161379,-101.2530544,1
"182",47.5514926,-101.0020119,1
"183",31.3839017,-100.439656,1
"184",20.5887932,-100.3898881,2
"185",25.6866142,-100.3161126,2
"186",31.9685988,-99.9018131,26
"187",41.4925374,-99.9018131,2
"188",27.5759792,-99.4672613,1
"189",30.0945305,-99.456155,1
"190",24.26694,-98.8362755,1
"191",33.9514847,-98.6686709,1
"192",29.5830244,-98.6207675,1
"193",29.4241219,-98.4936282,9
"194",39.011902,-98.4842465,3
"195",29.4448816,-98.4816846,1
"196",29.3620342,-98.4784533,1
"197",40.9282832,-98.3590535,1
"198",29.7030024,-98.1244531,1
"199",37.6458491,-98.1136734,1
"200",30.1902067,-98.0866781,1
"201",29.8832749,-97.9413941,3
"202",26.162872,-97.887797,1
"203",30.267153,-97.7430608,7
"204",30.3312641,-97.7398454,1
"205",30.2849185,-97.7340567,1
"206",31.1171194,-97.7277959,1
"207",34.3292549,-97.6811407,1
"208",26.2239796,-97.6618154,1
"209",31.7889901,-97.5804767,1
"210",35.4675602,-97.5164276,4
"211",35.6494514,-97.4413392,1
"212",35.2225668,-97.4394777,2
"213",32.7400335,-97.4356492,1
"214",28.6661179,-97.4148961,1
